"ISO-3166-alpha3","alpha_0","alpha","beta","gamma","delta","eta","n","kappa"
"AFG",0.332312,46.6056,0.00726126,0.298393,0.00394863,0.501732,1.49709,0.835734
"ALB",0.30553,48.284,0.0555038,0.345945,0.00649503,0.491874,1.44491,0.783926
"AND",0.339816,44.5257,0.0108649,0.428752,0.00395377,0.512685,1.36225,0.868491
"ARE",0.437019,47.313,0.0220355,0.344806,0.00461234,0.478241,1.21934,0.680174
"ARG",0.469201,46.0149,0.0279903,0.439988,0.00479061,0.509121,1.41255,1.14075
"ARM",0.401728,49.4382,0.0138891,0.472427,0.00303996,0.500811,1.2149,0.580467
"AUS",0.319748,38.383,0.0187863,0.455889,0.00284083,0.513393,0.702879,0.259154
"AUT",0.314852,33.5085,0.0324297,0.464207,0.00338882,0.497637,0.610789,0.105182
"AZE",0.441611,48.856,0.0233522,0.467381,0.00402528,0.493538,1.25496,0.831075
"BEL",0.347935,39.5509,0.0258247,0.317869,0.0131416,0.521529,0.759943,0.486871
"BFA",0.315545,45.7235,0.0377853,0.331819,0.00615034,0.514372,1.50606,0.874624
"BGD",0.722619,44.724,0.00668609,0.55255,0.014848,0.494177,1.41813,1.14145
"BGR",0.291407,45.5592,0.00750662,0.322329,0.0031388,0.512098,1.48105,0.834647
"BHR",0.481028,38.6845,0.0770078,0.396847,0.00483126,0.488104,1.56649,0.645728
"BIH",0.349261,51.3538,0.0152206,0.388281,0.00500192,0.510717,1.23809,0.677548
"BLR",0.499229,52.3419,0.0163806,0.380026,0.00572663,0.505886,1.11055,0.819442
"BOL",0.280346,47.1456,0.00371065,0.26881,0.00874103,0.497436,1.41778,0.605231
"BRA",0.598933,49.6365,0.00291523,0.518256,0.00688679,0.524925,1.14904,0.971808
"BRN",0.238286,43.7789,0.0743872,0.609191,0.00242021,0.514082,1.52023,0.191475
"CAN",0.470079,44.2045,0.0028563,0.427568,0.00414625,0.498437,0.883557,0.802243
"CHE",0.279092,22.4374,0.037467,0.414169,0.00423125,0.505409,0.527184,0.146149
"CHL",0.502495,50.2964,0.0286061,0.493804,0.00326156,0.530726,1.00114,0.790777
"CHN",0.701696,46.4452,0.401209,0.573692,0.0379309,0.50774,0.751227,1.07562
"CIV",0.41191,46.5855,0.0198163,0.321769,0.00361282,0.484356,1.60318,0.75304
"CMR",0.368585,53.9899,0.0136455,0.595411,0.00416557,0.474117,1.10321,0.836617
"COD",0.354421,48.4486,0.00772162,0.382872,0.00853931,0.497829,1.49884,0.483502
"COL",0.495079,48.4079,0.010028,0.443158,0.00419944,0.489479,1.43009,1.09736
"CRI",0.315311,44.5544,0.00527846,0.371567,0.0013605,0.493005,1.44397,0.827533
"CUB",0.343483,44.559,0.0170529,0.318758,0.00414324,0.514866,1.41738,0.821529
"CYP",0.308174,46.4486,0.0108293,0.320243,0.00339193,0.481408,1.34298,0.615078
"CZE",0.466129,49.778,0.00479955,0.50194,0.00309412,0.522692,0.98408,0.848425
"DEU",0.254816,16.135,0.0432008,0.296692,0.00356251,0.483915,0.467224,0.448026
"DJI",0.863609,47.3022,0.0262793,0.232634,0.00989935,0.51277,1.36587,0.53042
"DNK",0.476975,45.182,0.031483,0.441377,0.00398101,0.498164,1.40212,1.02618
"DOM",0.590834,45.4317,0.00427571,0.548005,0.0063546,0.474303,1.45482,1.24283
"DZA",0.41031,52.9834,0.0264905,0.523547,0.019034,0.517551,1.02421,0.706917
"ECU",0.805716,46.0862,0.00690479,0.733832,0.00601361,0.492097,1.51364,1.41078
"EGY",0.425929,47.2637,0.0297074,0.353046,0.00975593,0.492017,1.49347,0.88712
"ESP",0.320848,11.763,0.0402737,0.382955,0.0126088,0.510353,0.40865,0.500443
"EST",0.358824,45.2633,0.00529127,0.377294,0.00207057,0.498658,1.31236,0.794305
"FIN",0.420234,44.7977,0.010531,0.375366,0.00217446,0.495541,1.50148,0.948489
"FRA",0.476103,30.461,0.0255167,0.410642,0.0128795,0.496475,0.686777,0.711139
"GBR",0.523615,41.8756,0.0027975,0.447412,0.0152734,0.544506,0.825895,0.849504
"GEO",0.249836,46.0076,0.025584,0.278335,0.00423114,0.49872,1.51061,0.748852
"GHA",0.328753,46.8579,0.0127613,0.172601,0.00479172,0.540955,1.43682,0.432876
"GIN",0.362099,48.0709,0.00945402,0.296425,0.00418315,0.50702,1.39637,0.656886
"GRC",0.379658,49.9862,0.00901656,0.402759,0.00377459,0.492876,1.2734,0.752935
"GTM",0.27603,42.5557,0.0106539,0.486269,0.0100723,0.515286,1.46221,0.39144
"HND",0.287504,44.7769,0.00284823,0.340633,0.0083659,0.488057,1.46503,0.877032
"HRV",0.460191,48.5819,0.0168188,0.503781,0.0020703,0.498449,1.24663,1.0464
"HUN",0.482156,45.3923,0.011239,0.413857,0.00789152,0.502479,1.55062,0.871725
"IDN",0.503804,46.0837,0.00935652,0.426201,0.0109066,0.508354,1.52295,1.09323
"IND",0.488917,47.1388,0.0173795,0.36499,0.00596346,0.501128,1.27077,0.686518
"IRL",0.65006,46.6014,0.00155712,0.563107,0.00391956,0.503247,1.50554,1.13527
"IRN",0.450461,35.0234,0.0585213,0.457672,0.00823613,0.474492,0.629725,0.796222
"IRQ",0.391686,48.0007,0.0537847,0.398723,0.00813589,0.495002,1.15206,0.512902
"ISL",0.405486,47.2402,0.0361267,0.491204,0.00291908,0.531853,1.04874,0.544226
"ISR",0.306634,38.4453,0.0110018,0.353578,0.00302487,0.49904,0.726039,0.433577
"ITA",0.428922,31.1324,0.01594,0.530454,0.0121579,0.548424,0.518132,0.955948
"JOR",0.274635,46.0272,0.0396586,0.443232,0.0028324,0.507175,1.40129,0.850328
"JPN",0.360154,44.1961,0.0160718,0.250646,0.00363976,0.505214,1.6369,0.516075
"KAZ",0.463431,47.1918,0.0125793,0.445752,0.00195267,0.464711,1.55456,1.07887
"KEN",0.2605,47.1531,0.0157384,0.476872,0.00516857,0.507338,1.48006,0.465129
"KGZ",0.353056,51.1919,0.0236911,0.290133,0.0049811,0.493042,1.40975,0.608806
"KOR",0.268494,36.4513,0.0270693,0.572605,0.00166119,0.462,0.575396,0.267072
"KWT",0.345345,46.4749,0.018717,0.219745,0.00533145,0.49061,1.50422,0.479561
"LBN",0.306672,47.3378,0.00839229,0.361109,0.00289795,0.485231,1.36206,0.726063
"LKA",0.238577,43.9887,0.022515,0.273602,0.00394629,0.501724,1.52528,0.437843
"LTU",0.396847,47.9494,0.00431393,0.469434,0.00289516,0.510928,1.29751,0.78885
"LUX",0.606684,50.2249,0.0129742,0.668137,0.00209672,0.505535,1.16475,1.29605
"LVA",0.283116,44.2711,0.00440348,0.341101,0.00167112,0.507599,1.34906,0.859643
"MAR",0.438864,43.8435,0.0117972,0.411428,0.00926647,0.491274,1.35722,1.01835
"MDA",0.368909,50.223,0.00727323,0.355336,0.00437792,0.545783,1.11204,0.640653
"MEX",0.582816,46.4522,0.0501543,0.493997,0.00963684,0.461278,1.39122,0.965381
"MKD",0.287701,44.3483,0.00601976,0.261112,0.00468524,0.508311,1.43962,0.844979
"MLT",0.235779,47.584,0.00559678,0.233081,0.00269769,0.493237,1.46814,0.576789
"MNE",0.261758,47.8441,0.00286312,0.451823,0.00196509,0.507322,1.46282,0.681722
"MUS",0.334574,46.8016,0.0107275,0.433114,0.00432811,0.474111,1.3821,0.534321
"MYS",0.40932,46.3699,0.0356454,0.462503,0.0031861,0.516454,0.89261,0.625887
"NER",0.378868,50.3129,0.0279498,0.482302,0.00573448,0.49545,1.2212,0.785907
"NGA",0.258248,45.2762,0.0286917,0.363248,0.00409544,0.498257,1.40497,0.738383
"NLD",0.498011,46.6845,0.00247525,0.474073,0.0103505,0.499944,0.919579,0.883156
"NOR",0.550176,49.3498,0.00179773,0.565536,0.002118,0.503333,1.11029,1.11448
"NZL",0.414593,48.1093,0.0337812,0.530582,0.00387752,0.496991,1.06841,0.818044
"OMN",0.394968,43.0362,0.02475,0.285448,0.00353576,0.492257,1.59825,0.728231
"PAK",0.614977,48.7725,0.0154203,0.584907,0.00259316,0.508273,1.28161,1.05398
"PAN",0.514853,46.1818,0.0016895,0.459311,0.00296702,0.493992,1.44046,1.11451
"PER",0.595994,44.9139,0.0743012,0.366925,0.00760306,0.507919,1.60693,0.588172
"PHL",0.461196,46.7748,0.00494928,0.450388,0.00684448,0.469739,1.10822,0.682326
"POL",0.538484,48.1649,0.00597587,0.495305,0.00404346,0.47334,1.2043,0.88488
"PRT",0.29675,46.51,0.00204218,0.319237,0.00307999,0.485457,0.767432,0.615312
"PRY",0.266639,46.546,0.0136336,0.28287,0.00581544,0.498614,1.52054,0.384926
"PSE",0.291137,48.8799,0.0144462,0.440889,0.0034297,0.507573,1.40488,0.67824
"QAT",0.270818,46.2785,0.0099668,0.16865,0.0035793,0.484601,1.41953,0.556685
"ROU",0.447232,50.9241,0.0154664,0.401499,0.0064609,0.50021,1.09766,0.776786
"RUS",0.601429,46.3034,0.0136323,0.448598,0.00251099,0.498042,1.35376,0.915419
"RWA",0.243943,42.8676,0.0316336,0.433557,0.00424078,0.48888,1.47682,0.203043
"SAU",0.655615,42.0993,0.0227529,0.564383,0.00259181,0.495476,1.54501,0.868582
"SEN",0.28751,46.2876,0.0676565,0.408281,0.00323575,0.487215,1.40232,0.66304
"SGP",0.384145,43.8544,0.0240919,0.279269,0.00279501,0.494474,1.62433,0.80293
"SMR",0.220376,43.443,0.00828047,0.243916,0.00738453,0.484239,1.54362,0.661803
"SRB",0.507751,45.6694,0.00236629,0.448106,0.00356929,0.488046,1.19825,0.768454
"SVK",0.327196,46.0528,0.00402956,0.33148,0.00189583,0.484442,1.38855,0.666651
"SVN",0.326762,50.7893,0.00724923,0.367652,0.00268256,0.480201,1.30135,0.740924
"SWE",0.5893,46.6323,0.00290708,0.539199,0.00734637,0.493782,1.35031,1.13791
"THA",0.31344,55.1812,0.0414269,0.449438,0.00224559,0.513042,0.85771,0.642187
"TUN",0.360737,45.6238,0.00419134,0.462779,0.00367351,0.482276,1.35438,0.977455
"TUR",0.503945,55.5299,0.00837785,0.465821,0.00323628,0.489479,0.721686,1.00779
"TWN",0.326945,47.11,0.0108339,0.454267,0.00237753,0.481913,1.42605,0.800481
"UKR",0.596568,41.3501,0.00443334,0.506967,0.00442989,0.508549,1.50469,1.04132
"URY",0.307339,46.1354,0.0347548,0.465287,0.00305625,0.496071,1.33151,0.789554
"USA",0.344151,12.8288,0.00704487,0.322511,0.00454515,0.525588,0.433943,0.662096
"UZB",0.407821,47.8866,0.0120456,0.314401,0.00342186,0.462649,1.42152,0.783114
"VNM",0.221729,45.1502,0.0429108,0.373728,0.00211758,0.502399,1.44476,0.660348
"ZAF",0.433898,46.1147,0.0100906,0.574158,0.00235278,0.492903,1.00936,0.922352
